PLOTID,real_STRATUM
GR-024,Pinon_Juniper
GR-028,Salt_Desert
GR-032,Salt_Desert
GR-036,Salt_Desert
GR-040,Pinon_Juniper
MMS-071,Mixed_Mountain_Shrub
MMS-087,Pinon_Juniper
OT-111,Salt_Desert
OT-119,Pinon_Juniper
OT-120,Pinon_Juniper
OT-123,Pinon_Juniper
PJ-134,Pinon_Juniper
PJ-138,Pinon_Juniper
PJ-142,Pinon_Juniper
PJ-150,Pinon_Juniper
PJ-166,Pinon_Juniper
PP-172,Pinon_Juniper
PP-187,Sage_Brush
RI-204,Pinon_Juniper
SS-223,Sage_Brush
SS-227,Sage_Brush
SS-239,Pinon_Juniper
SS-243,Pinon_Juniper
SS-255,Pinon_Juniper
SS-259,Pinon_Juniper
SS-271,Salt_Desert
SS-290,Salt_Desert
SS-291,Pinon_Juniper
SS-303,Pinon_Juniper
SD-321,Pinon_Juniper
SD-331,Salt_Desert
SD-337,Salt_Desert
SD-343,Salt_Desert
SD-347,Sage_Brush
SD-353,Salt_Desert
SD-359,Salt_Desert
SD-369,Pinon_Juniper
SD-371,Salt_Desert
SD-373,Salt_Desert
SD-375,Salt_Desert
SD-387,Salt_Desert
SD-388,Pinon_Juniper
SD-395,Salt_Desert
SD-396,Salt_Desert
SD-398,Pinon_Juniper
SD-408,Salt_Desert
