OBJECTID,LineKey,RecKey,DateModified,FormType,FormDate,Observer,Recorder,DataEntry,DataErrorChecking,SpecRichMethod,SpecRichMeasure,SpecRichNbrSubPlots,SpecRich1Container,SpecRich1Shape,SpecRich1Dim1,SpecRich1Dim2,SpecRich1Area,SpecRich2Container,SpecRich2Shape,SpecRich2Dim1,SpecRich2Dim2,SpecRich2Area,SpecRich3Container,SpecRich3Shape,SpecRich3Dim1,SpecRich3Dim2,SpecRich3Area,SpecRich4Container,SpecRich4Shape,SpecRich4Dim1,SpecRich4Dim2,SpecRich4Area,SpecRich5Container,SpecRich5Shape,SpecRich5Dim1,SpecRich5Dim2,SpecRich5Area,SpecRich6Container,SpecRich6Shape,SpecRich6Dim1,SpecRich6Dim2,SpecRich6Area,Notes,DateLoadedInDb,PrimaryKey,DBKey,created_user,created_date,last_edited_user,last_edited_date,GlobalID
55863,1607180850441236,1612211050084154,12/21/2016 11:04:31,SpecRich,6/27/2016 0:00:00,Ricci Simmons,Ricci Simmons,Ricci Simmons,Ricci Simmons,4,1,1,1,2,30.000000000000000,30.000000000000000,2827.399902340000153,0,1,1.000000000000000,1.000000000000000,1.000000000000000,0,1,1.000000000000000,1.000000000000000,1.000000000000000,1,2,7.320000170000000,0.000000000000000,168.300003049999987,0,1,2.000000000000000,5.000000000000000,10.000000000000000,0,1,10.000000000000000,30.000000000000000,300.000000000000000,,2016-09-01,16071808504390982016-09-01,DIMA 5.0 CO_NWD_LSFO_2016.mdb,DBROWNING,9/12/2018 20:22:40,SBURNETT,7/22/2020 17:23:00,{6124E14F-2CF0-4857-BCB4-44148761E6CE}
57772,160707124711261,1612211109221259,12/21/2016 11:14:02,SpecRich,6/29/2016 0:00:00,Ricci Simmons,Ricci Simmons,Ricci Simmons,Ricci Simmons,4,1,1,1,2,30.000000000000000,30.000000000000000,2827.399902340000153,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,2.000000000000000,5.000000000000000,10.000000000000000,1,1,10.000000000000000,30.000000000000000,300.000000000000000,,2016-09-01,16070712471072872016-09-01,DIMA 5.0 CO_NWD_LSFO_2016.mdb,DBROWNING,9/12/2018 20:22:40,SBURNETT,7/22/2020 17:22:00,{1AC0E064-B3DB-40E5-9CC4-A900E5B35713}
57888,1506180655369769,1506241813585320,9/29/2015 15:23:18,SpecRich,6/24/2015 0:00:00,Garrett Rotert,Josh Logsdon,,,1,1,6,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,2.000000000000000,5.000000000000000,10.000000000000000,1,1,10.000000000000000,30.000000000000000,300.000000000000000,,2015-09-01,15061806553313572015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,9/12/2018 20:22:40,SBURNETT,7/22/2020 17:22:07,{7E3819B4-A213-46E4-8BBA-9FE64BCE89FD}
57889,1506241932108618,1506250746584568,6/25/2015 7:50:02,SpecRich,6/16/2015 0:00:00,Garrett Rotert,Josh Logsdon,,,1,1,6,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,2.000000000000000,5.000000000000000,10.000000000000000,1,1,10.000000000000000,30.000000000000000,300.000000000000000,,2015-09-01,1506241932073162015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,9/12/2018 20:22:40,SBURNETT,7/22/2020 17:22:08,{168CBC00-793A-4E5C-8623-A16CCCCE4A01}
57890,1506250801313853,150625094309599,6/25/2015 9:51:23,SpecRich,6/25/2015 0:00:00,Josh Logsdon,Garrett Rotert,,,1,1,6,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,2.000000000000000,5.000000000000000,10.000000000000000,1,1,10.000000000000000,30.000000000000000,300.000000000000000,,2015-09-01,15062508012828012015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,9/12/2018 20:22:40,SBURNETT,7/22/2020 17:22:08,{C77D6113-5273-4A3B-A04D-A02FCDD337CD}
57891,150625095358468,150625104342557,9/29/2015 15:25:45,SpecRich,6/17/2015 0:00:00,Josh Logsdon,Garrett Rotert,,,1,1,6,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,2.000000000000000,5.000000000000000,10.000000000000000,1,1,10.000000000000000,30.000000000000000,300.000000000000000,,2015-09-01,15062509535650522015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,9/12/2018 20:22:40,SBURNETT,7/22/2020 17:22:08,{FD13C850-F089-4CAE-8633-8F30894BFF0C}
57892,1506251049306389,150625105707371,6/25/2015 11:16:46,SpecRich,6/24/2015 0:00:00,Josh Logsdon,Garrett Rotert,,,1,1,6,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,2.000000000000000,5.000000000000000,10.000000000000000,1,1,10.000000000000000,30.000000000000000,300.000000000000000,,2015-09-01,15062510492972452015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,9/12/2018 20:22:40,SBURNETT,7/22/2020 17:22:08,{FE86ECEA-762F-475C-A952-74AC0ACD4DF5}
57893,1506301712094302,15063018122523,6/30/2015 18:13:09,SpecRich,6/30/2015 0:00:00,Garrett Rotert,Josh Logsdon,,,1,1,6,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,2.000000000000000,5.000000000000000,10.000000000000000,1,1,10.000000000000000,30.000000000000000,300.000000000000000,,2015-09-01,15063017120819272015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,9/12/2018 20:22:40,SBURNETT,7/22/2020 17:22:08,{9FBB3A98-35F8-4E24-86FB-C58D0F454AA9}
57996,1507010658222437,1507011354462906,7/1/2015 13:55:53,SpecRich,7/1/2015 0:00:00,Josh Logsdon,Garrett Rotert,,,1,1,6,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,2.000000000000000,5.000000000000000,10.000000000000000,1,1,10.000000000000000,30.000000000000000,300.000000000000000,,2015-09-01,15070106582044382015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,9/12/2018 20:22:40,SBURNETT,7/22/2020 17:22:15,{399CDCDB-0AD4-4D56-9B43-B234FCCC84B7}
57997,150629111258444,1507011457443466,7/1/2015 14:59:00,SpecRich,7/1/2015 0:00:00,Garrett Rotert,Josh Logsdon,,,1,1,6,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,0.500000000000000,2.000000000000000,1.000000000000000,0,1,2.000000000000000,5.000000000000000,10.000000000000000,1,1,10.000000000000000,30.000000000000000,300.000000000000000,,2015-09-01,15062911125595622015-09-01,TravelingAIMcrew 2015 5.0.mdb,DBROWNING,9/12/2018 20:22:40,SBURNETT,7/22/2020 17:22:15,{BF906C9C-8F56-4219-BE85-F8DCFFD62B33}
